id,billing_date,due_date,status,project_leader,total_hours,start_date,finish_date,employees,description,budget,client
487,2023-07-04,2025-01-03,active,Reid Park,417,2021-11-27,2020-09-04,"1751,2521,2230,3606,3219,3909,2615",Town guy billion race picture this movement.,18789,Thompson Ltd
488,2024-02-24,2023-10-09,completed,Reilly Moyer,69,2022-12-26,,"2939,2159,2589,3072,1605,2879,1097,3224,3819,3914,2036,2783,2678,2927,1896,2277,1740,2835,1395,3145,2010,2261,3044",Source glass sort office.,15894,"Greene, Johnson and Mata"
489,2022-06-28,2020-06-04,on hold,Angela Molina,129,2021-11-27,2024-02-09,"3929,1435,2325,1661,1287,3392,1834,2694,3276,3219,3307,3765,1010,2112,3285,3496,1598",Machine once there.,37432,"Swanson, Proctor and Mcguire"
490,2020-08-20,2023-10-31,completed,Kaylah Moon,494,2024-04-07,,"3820,1836,2189,2244,1142,3899,1005,2507,2181,3762,1475,1828,1292,3080,2927,3278,2508,2595,1236,1465,1036,3933,3644,2789,3606,3373,1315,1035,2386,2840",Mind memory place worry reality glass special.,29408,Morales Inc
491,2023-01-13,2023-07-24,on hold,Bobby Rodgers,82,2022-04-04,2022-03-03,"2271,3080,2696,1372,3946,2110,3270,3464,3884,1978,3924,3730,1628,2328,1912,3218,3030,3963,3983,2053,1126,3845,2443,3832",Successful dark prepare car story study.,11557,"Collins, Allen and Ramirez"
492,2020-08-20,2021-02-11,pending,Hector Dalton,355,2021-07-12,2021-10-07,"2586,1948,1675,2201,3426,2634,3015,2944,2413,2099,1936,1628,1819,1861,1341,2786,1435,3852,1956,1368,3612,2690",Not son another.,8921,"Jones, Martin and Rush"
493,2023-11-06,2023-10-12,on hold,Hector Dalton,280,2024-07-24,,"3897,2201,3418,3680,1324,2315,1680,1279,2627,2519,2001,1952,1916,3970,3403,3046,3149,2081,3434",Machine job surface beyond local though doctor.,31848,Hatfield-Jennings
494,2021-05-24,2022-01-31,pending,Kaylah Moon,429,2024-10-24,2022-09-27,"1494,3047,3868",Common style how hour suddenly benefit bring job.,15328,Davis-Strong
495,2022-05-15,2024-09-14,active,Axel Howe,363,2020-05-27,,"2209,1717,3707,2582,2445,3429,2555,1638,3893,1404,3198",Bag lawyer concern lot some.,9413,Wilson-Nelson
496,2021-06-06,2020-12-24,on hold,Myriam Givens,438,2022-06-13,,"1276,1027,1711,2553,3505,3020,1344,2465,2542,2803,1917,2853,2278,2594,2782,3339,3808,2463,1816,1172",Among ground right majority sound cold.,24837,Griffin-Carter
497,2020-02-20,2022-07-21,pending,Charity Miranda,341,2021-01-11,2021-04-04,1975,Law thank want central against purpose finally.,40691,Hill-White
498,2021-03-11,2024-06-06,completed,Bartholemew Khemmich,439,2024-11-04,,"3780,1969,2666,2016,1084,3271,1946,3525,3257,3018,1209,3297,2737,3799,2569,1329,1008,3693,2912,1241,2958,3905,3881,3720,1621",Such base parent pick admit finally.,40666,Williams Inc
499,2022-03-23,2020-10-13,completed,Myriam Givens,255,2021-11-18,2024-07-21,"1754,3000",Decide east decide specific value then window.,45881,Allen and Sons
500,2023-08-16,2023-05-14,completed,Charity Miranda,313,2023-07-16,2021-03-24,"3517,2899,2185,3854,2951,2860,1122,1875,1581,2270,1263,2186,2546,1039,3522,1445,3478,3451,2280,1082,2600,1716,2878,2853,3304,2243,2118,2052,1655,3858",Agreement total receive position rest country natural.,15344,"Oliver, Booth and Hall"
